danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4
0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,audio_features,46IZ0fSY2mpAiktS3KOqds,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695,4
0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-5,0.0678,0.905,122,audio_features,1nH2PkJL1XoUq8oE6tBZoU,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/tracks/1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/audio-analysis/1nH2PkJL1XoUq8oE6tBZoU,188918,4
0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,audio_features,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg,196520,4
0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,audio_features,52xJxFP6TqMuO4Yt0eOkMz,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,https://api.spotify.com/v1/tracks/52xJxFP6TqMuO4Yt0eOkMz,https://api.spotify.com/v1/audio-analysis/52xJxFP6TqMuO4Yt0eOkMz,216120,4
0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-5,0.0534,0.832,96.018,audio_features,1O2pcBJGej0pmH2Y9XZMs6,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/tracks/1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/audio-analysis/1O2pcBJGej0pmH2Y9XZMs6,153750,4
0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-6,0.27,0.853,114.941,audio_features,2KukL7UlQ8TdvpaA7bY3ZJ,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,https://api.spotify.com/v1/tracks/2KukL7UlQ8TdvpaA7bY3ZJ,https://api.spotify.com/v1/audio-analysis/2KukL7UlQ8TdvpaA7bY3ZJ,278282,4
0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4
0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,audio_features,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,210200,4
0.695,0.636,5,-4.654,1,0.317,0.234,0,0.081,0.575,174.14,audio_features,2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/audio-analysis/2rurDawMfoKP4uHyb2kJBt,172235,4
0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-6,0.115,0.292,99.968,audio_features,6Xom58OOXk2SoU711L2IXO,spotify:track:6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/audio-analysis/6Xom58OOXk2SoU711L2IXO,245940,4
0.82,0.686,0,-5.102,1,0.038,0.00412,0,0.184,0.668,110.058,audio_features,0ARKW62l9uWIDYMZTUmJHF,spotify:track:0ARKW62l9uWIDYMZTUmJHF,https://api.spotify.com/v1/tracks/0ARKW62l9uWIDYMZTUmJHF,https://api.spotify.com/v1/audio-analysis/0ARKW62l9uWIDYMZTUmJHF,175889,3
0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4
